soma	description	protein	new.annotation	gene
SL007385	Interleukin-24	Q13007	IL24	IL24
SL010464	Leucine-rich repeats and immunoglobulin-like domains protein 3	Q6UXM1	LRIG3	LRIG3
SL004610	Low-density lipoprotein receptor-related protein 8	Q14114	LRP8	LRP8
SL007674	T-lymphocyte surface antigen Ly-9	Q9HBG7	LY9	LY9
SL010465	Matrilin-2	O00339	MATN2	MATN2
SL004805	Cell adhesion molecule 1	Q9BY67	CADM1	CADM1
SL007673	Netrin-4	Q9HB63	NTN4	NTN4
SL004515	Peptidoglycan recognition protein 1	O75594	PGLYRP1	PGLYRP1
SL010468	RGM domain family member B	Q6NW40	RGMB	RGMB
SL010469	Hemojuvelin	Q6ZVN8	HFE2	HFE2
SL001998	Tissue factor pathway inhibitor	P10646	TFPI	TFPI
SL007206	Thrombospondin-2	P35442	THBS2	THBS2
SL007207	Thrombospondin-4	P35443	THBS4	THBS4
SL006892	Tyrosine-protein kinase ABL1	P00519	ABL1	ABL1
SL005574	Aminoacylase-1	Q03154	ACY1	ACY1
SL000272	Antithrombin-III	P01008	SERPINC1	SERPINC1
SL010520	Aurora kinase B	Q96GD4	AURKB	AURKB
SL002792	beta-adrenergic receptor kinase 1	P25098	ADRBK1	ADRBK1
SL003994	Bone morphogenetic protein 1	P13497	BMP1	BMP1
SL010491	Calcium/calmodulin-dependent protein kinase type II subunit alpha	Q9UQM7	CAMK2A	CAMK2A
SL010492	Calcium/calmodulin-dependent protein kinase type II subunit beta	Q13554	CAMK2B	CAMK2B
SL010288	Carbonic anhydrase 6	P23280	CA6	CA6
SL004868	Carbonic anhydrase 7	P43166	CA7	CA7
SL010495	Cyclin-dependent kinase 2:Cyclin-A2 complex	P24941 P20248	CDK2	CDK2 CCNA2
SL010496	Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex	Q00535 Q15078	CDK5	CDK5 CDK5R1
SL010522	Cyclin-dependent kinase 8:Cyclin-C complex	P49336 P24863	CDK8	CDK8 CCNC
SL003726	Serine/threonine-protein kinase Chk2	O96017	CHEK2	CHEK2
SL010610	C-type lectin domain family 4 member K	Q9UJ71	CD207	CD207
SL009400	Chordin-like protein 1	Q9BU40	CHRDL1	CHRDL1
SL004781	Tyrosine-protein kinase CSK	P41240	CSK	CSK
SL006910	Cathepsin L2	O60911	CTSL2	CTSL2
SL010612	Dickkopf-related protein 4	Q9UBT3	DKK4	DKK4
SL006550	Extracellular matrix protein 1	Q16610	ECM1	ECM1
SL006777	Fetuin-B	Q9UGM5	FETUB	FETUB
SL004654	Granzyme H	P20718	GZMH	GZMH
SL010499	Tyrosine-protein kinase HCK	P08631	HCK	HCK
SL010613	Interleukin-17 receptor D	Q8NFM7	IL17RD	IL17RD
SL000064	Kallikrein-7	P49862	KLK7	KLK7
SL007228	Protein kinase C iota type	P41743	PRKCI	PRKCI
SL010500	"Tyrosine-protein kinase Lyn, isoform B"	P07948	LYN-isoB	LYN
SL010508	Serine/threonine-protein kinase PAK 3	O75914	PAK3	PAK3
SL010510	Serine/threonine-protein kinase PAK 7	Q9P286	PAK7	PAK7
SL000550	Plasma serine protease inhibitor	P05154	SERPINA5	SERPINA5
SL010512	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform:Phosphatidylinositol 3-kinase regulatory subunit alpha complex"	P42336 P27986	PIK3CA	PIK3CA PIK3R1
SL007250	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	P48736	PIK3CG	PIK3CG
SL017614	Protein kinase B alpha/beta/gamma	Family	None	None
SL005258	Serine/threonine-protein kinase PLK1	P53350	PLK1	PLK1
SL000565	Renin	P00797	REN	REN
SL010616	Tyrosine-protein phosphatase non-receptor type 11	Q06124	PTPN11	PTPN11
SL007560	Stabilin-2	Q8WWQ8	STAB2	STAB2
SL007747	Serine/threonine-protein kinase TBK1	Q9UHD2	TBK1	TBK1
SL005261	Tyrosine-protein phosphatase non-receptor type 2	P17706	PTPN2	PTPN2
SL010617	Tryptase beta-2	P20231	TPSB2	TPSB2
SL010619	Tryptase gamma	Q9NRR2	TPSG1	TPSG1
SL010529	Ubiquitin-fold modifier-conjugating enzyme 1	Q9Y3C8	UFC1	UFC1
SL000104	Apoptosis regulator Bcl-2	P10415	BCL2	BCL2
SL003703	Bcl-2-related protein A1	Q16548	BCL2A1	BCL2A1
SL006374	Cytoplasmic tyrosine-protein kinase BMX	P51813	BMX	BMX
SL004660	Bone sialoprotein 2	P21815	IBSP	IBSP
SL010521	Tyrosine-protein kinase BTK	Q06187	BTK	BTK
SL010490	Calcium/calmodulin-dependent protein kinase type 1D	Q8IU85	CAMK1D	CAMK1D
SL010493	Calcium/calmodulin-dependent protein kinase type II subunit delta	Q13557	CAMK2D	CAMK2D
SL004869	Carbonic anhydrase 13	Q8N1Q1	CA13	CA13
SL004635	Tumor necrosis factor ligand superfamily member 8	P32971	TNFSF8	TNFSF8
SL010494	Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex	P06493 P14635	CDC2	CDC2 CCNB1
SL005250	Chymase	P23946	CMA1	CMA1
SL007324	Casein kinase II subunit alpha	P68400	CSNK2A1	CSNK2A1
SL004137	Ephrin type-A receptor 1	P21709	EPHA1	EPHA1
SL010498	Ephrin type-A receptor 3	P29320	EPHA3	EPHA3
SL010349	Fibronectin Fragment 3	P02751	FN1-frag3	FN1
SL010348	Fibronectin Fragment 4	P02751	FN1-frag4	FN1
SL004636	Receptor-type tyrosine-protein kinase FLT3	P36888	FLT3	FLT3
SL009324	Follistatin-related protein 3	O95633	FSTL3	FSTL3
SL004298	Granzyme A	P12544	GZMA	GZMA
SL017188	Glycogen synthase kinase-3 alpha/beta	P49840 P49841	GSK3A	GSK3A GSK3B
SL010523	Homeodomain-interacting protein kinase 3	Q9H422	HIPK3	HIPK3
SL004151	Interleukin-15 receptor subunit alpha	Q13261	IL15RA	IL15RA
SL004152	Interleukin-18 receptor 1	Q13478	IL18R1	IL18R1
SL000039	Interleukin-8	P10145	IL8	IL8
SL004125	Insulin receptor	P06213	INSR	INSR
SL004876	Kallistatin	P29622	SERPINA4	SERPINA4
SL001797	Kallikrein-6	Q92876	KLK6	KLK6
SL006916	Tyrosine-protein kinase Lck	P06239	LCK	LCK
SL006917	Tyrosine-protein kinase Lyn	P07948	LYN	LYN
SL005084	Periostin	Q15063	POSTN	POSTN
SL004155	Platelet-derived growth factor receptor beta	P09619	PDGFRB	PDGFRB
SL009089	Brevican core protein	Q96GW7	BCAN	BCAN
SL010513	cAMP-dependent protein kinase catalytic subunit alpha	P17612	PRKACA	PRKACA
SL010515	Ribosomal protein S6 kinase alpha-3	P51812	RPS6KA3	RPS6KA3
SL001945	E-Selectin	P16581	SELE	SELE
SL010517	Serine/threonine-protein kinase 16	O75716	STK16	STK16
SL000582	Baculoviral IAP repeat-containing protein 5	O15392	BIRC5	BIRC5
SL005224	Thrombopoietin Receptor	P40238	MPL	MPL
SL002705	Thrombospondin-1	P07996	THBS1	THBS1
SL005225	High affinity nerve growth factor receptor	P04629	NTRK1	NTRK1
SL006480	Trypsin-3	P35030	PRSS3	PRSS3
SL008122	Dual specificity protein phosphatase 3	P51452	DUSP3	DUSP3
SL011073	Xaa-Pro aminopeptidase 1	Q9NQW7	XPNPEP1	XPNPEP1
SL000271	Angiotensinogen	P01019	AGT	AGT
SL000283	Beta-2-microglobulin	P61769	B2M	B2M
SL000299	Fibroblast growth factor 1	P05230	FGF1	FGF1
SL003167	C-X-C motif chemokine 13	O43927	CXCL13	CXCL13
SL000342	Catalase	P04040	CAT	CAT
SL004331	Ciliary Neurotrophic Factor	P26441	CNTF	CNTF
SL000408	Erythropoietin	P01588	EPO	EPO
SL004335	Fibroblast growth factor 17	O60258	FGF17	FGF17
SL003172	C-X-C motif chemokine 6	P80162	CXCL6	CXCL6
SL002075	Interferon alpha-2	P01563	IFNA2	IFNA2
SL001713	Interleukin-17A	Q16552	IL17A	IL17A
SL004350	Interleukin-17B	Q9UHF5	IL17B	IL17B
SL003179	Integrin alpha-I: beta-1 complex	"P56199, P05556"	ITGA1	ITGA1 ITGB1
SL004536	Hepcidin	P81172	HAMP	HAMP
SL000507	Lymphotoxin alpha1:beta2	"P01374, Q06643"	Lymphotoxin-a1b2	LTA LTB
SL000508	Lymphotoxin alpha2:beta1	"P01374, Q06643"	Lymphotoxin-a2b1	LTA LTB
SL003187	C-C motif chemokine 22	O00626	CCL22	CCL22
SL003190	C-C motif chemokine 15	Q16663	CCL15	CCL15
SL004008	Myeloblastin	P24158	PRTN3	PRTN3
SL004712	Stromal cell-derived factor 1	P48061	CXCL12	CXCL12
SL004015	Carboxypeptidase B2	Q96IY4	CPB2	CPB2
SL003196	C-C motif chemokine 17	Q92583	CCL17	CCL17
SL000089	Transforming growth factor beta-3	P10600	TGFB3	TGFB3
SL000589	Thyroid Stimulating Hormone	P01215 P01222	CGA TSHB	CGA TSHB
SL000615	Vasoactive Intestinal Peptide	P01282	VIP	VIP
SL003862	CD40 ligand	P29965	CD40LG	CD40LG
SL004367	Dickkopf-related protein 1	O94907	DKK1	DKK1
SL009216	Aromatic-L-amino-acid decarboxylase	P20711	DDC	DDC
SL004258	Adiponectin	Q15848	ADIPOQ	ADIPOQ
SL000249	Alpha-1-antitrypsin	P01009	SERPINA1	SERPINA1
SL000251	Alpha-2-HS-glycoprotein	P02765	AHSG	AHSG
SL005392	Arylsulfatase A	P15289	ARSA	ARSA
SL009341	Basigin	P35613	BSG	BSG
SL007056	Bone morphogenetic protein 10	O95393	BMP10	BMP10
SL000311	Complement C1s subcomponent	P09871	C1S	C1S
SL004865	Cadherin-6	P55285	CDH6	CDH6
SL010489	Calcium/calmodulin-dependent protein kinase type 1	Q14012	CAMK1	CAMK1
SL003711	Caspase-3	P42574	CASP3	CASP3
SL007121	Cathepsin E	P14091	CTSE	CTSE
SL006029	Chitotriosidase-1	Q13231	CHIT1	CHIT1
SL008936	Neural cell adhesion molecule L1-like protein	O00533	CHL1	CHL1
SL007640	C-type lectin domain family 7 member A	Q9BXN2	CLEC7A	CLEC7A
SL006694	Beta-Ala-His dipeptidase	Q96KN2	CNDP1	CNDP1
SL011049	Mannan-binding lectin serine protease 1	P48740	MASP1	MASP1
SL004120	Discoidin domain-containing receptor 2	Q16832	DDR2	DDR2
SL009412	Dickkopf-related protein 3	Q9UBP4	DKK3	DKK3
SL008916	Dipeptidyl peptidase 2	Q9UHL4	DPP7	DPP7
SL004060	Endothelin-converting enzyme 1	P42892	ECE1	ECE1
SL004845	Ephrin type-B receptor 4	P54760	EPHB4	EPHB4
SL010462	Ficolin-1	O00602	FCN1	FCN1
SL008504	N-acetylglucosamine-6-sulfatase	P15586	GNS	GNS
SL006512	Hepatocyte growth factor activator	Q04756	HGFAC	HGFAC
SL007806	Interleukin-22 receptor subunit alpha-1	Q8N6P7	IL22RA1	IL22RA1
SL008909	Legumain	Q99538	LGMN	LGMN
SL007059	Lymphocyte antigen 86	O95711	LY86	LY86
SL011069	Serine protease 27	Q9BQR3	PRSS27	PRSS27
SL010376	Membrane metallo-endopeptidase-like 1	Q495T6	MMEL1	MMEL1
SL010501	Dual specificity mitogen-activated protein kinase kinase 2	P36507	MAP2K2	MAP2K2
SL006805	Serine/threonine-protein kinase MRCK beta	Q9Y5S2	CDC42BPB	CDC42BPB
SL004804	Cell adhesion molecule 3	Q8N126	CADM3	CADM3
SL008193	Nidogen-2	Q14112	NID2	NID2
SL005491	Opioid-binding protein/cell adhesion molecule	Q14982	OPCML	OPCML
SL010530	OCIA domain-containing protein 1	Q9NX40	OCIAD1	OCIAD1
SL007327	Oxidized low-density lipoprotein receptor 1	P78380	OLR1	OLR1
SL005263	alpha-2-macroglobulin receptor-associated protein	P30533	LRPAP1	LRPAP1
SL000566	Retinol-binding protein 4	P02753	RBP4	RBP4
SL008588	SLAM family member 5	Q9UIB8	CD84	CD84
SL010381	Dickkopf-like protein 1	Q9UK85	DKKL1	DKKL1
SL010518	Tyrosine-protein kinase Tec	P42680	TEC	TEC
SL018625	Toll-like receptor 4:Lymphocyte antigen 96 complex	O00206  Q9Y6Y9	TLR4	TLR4 LY96
SL003201	Vascular endothelial growth factor receptor 2	P35968	KDR	KDR
SL007531	BMP-binding endothelial regulator protein	Q8N8U9	BMPER	BMPER
SL004864	Cadherin-12	P55289	CDH12	CDH12
SL004720	Calcineurin subunit B type 1	P63098	PPP3R1	PPP3R1
SL007471	Collectin-12	Q5KU26	COLEC12	COLEC12
SL006830	Complement factor H-related protein 5	Q9BXR6	CFHR5	CFHR5
SL003679	Cation-independent mannose-6-phosphate receptor	P11717	IGF2R	IGF2R
SL003919	Kallikrein-14	Q9P0G3	KLK14	KLK14
SL004580	Macrophage scavenger receptor types I and II	P21757	MSR1	MSR1
SL010466	Membrane frizzled-related protein	Q9BY79	MFRP	MFRP
SL000467	Immunoglobulin G	P01857	IgG	IGHG1 IGHG2 IGHG3 IGHG4 IGK@ IGL@
SL000254	Serum albumin	P02768	ALB	ALB
SL000252	Alpha-2-macroglobulin	P01023	A2M	A2M
SL000617	Alanine aminotransferase 1	P24298	GPT	GPT
SL000268	Angiostatin	P00747	PLG	PLG
SL000382	Creatine kinase M-type:Creatine kinase B-type heterodimer	P12277 P06732	CKB-CKM	CKB CKM
SL000458	Interferon gamma receptor 1	P15260	IFNGR1	IFNGR1
SL000076	Cyclin-dependent kinase inhibitor 1B	P46527	CDKN1B	CDKN1B
SL002517	Tumor necrosis factor	P01375	TNF	TNF
SL000306	Brain natriuretic peptide 32	P16860	NPPB	NPPB
SL003970	Parathyroid hormone	P01270	PTH	PTH
SL011509	Peptide YY	P10082	PYY	PYY
SL000570	Secretin	P09683	SCT	SCT
SL011510	Somatostatin-28	P61278	SST	SST
SL011448	Tumor necrosis factor receptor superfamily member 4	P43489	TNFRSF4	TNFRSF4
SL003993	Bone morphogenetic protein 6	P22004	BMP6	BMP6
SL000346	Cathepsin H	P09668	CTSH	CTSH
SL002684	Macrophage colony-stimulating factor 1	P09603	CSF1	CSF1
SL000542	Integrin alpha-IIb: beta-3 complex	P08514 P05106	ITGA2B	ITGA2B ITGB3
SL000481	Interleukin-5	P05113	IL5	IL5
SL000645	Stromelysin-2	P09238	MMP10	MMP10
SL003974	Activated Protein C	P04070	PROC	PROC
SL000027	Prostaglandin G/H synthase 2	P35354	PTGS2	PTGS2
SL004304	Syntaxin-1A	Q16623	STX1A	STX1A
SL003200	"Angiopoietin-1 receptor, soluble"	Q02763	TEK	TEK
SL004642	Disintegrin and metalloproteinase domain-containing protein 9	Q13443	ADAM9	ADAM9
SL007642	Angiopoietin-related protein 4	Q9BY76	ANGPTL4	ANGPTL4
SL000638	Cadherin-2	P19022	CDH2	CDH2
SL005508	Carbonic anhydrase 9	Q16790	CA9	CA9
SL004867	Carbonic anhydrase 3	P07451	CA3	CA3
SL000377	Creatine kinase B-type	P12277	CKB	CKB
SL007888	Cystatin-S	P01036	CST4	CST4
SL008382	Cystatin-D	P28325	CST5	CST5
SL007403	Dentin matrix acidic phosphoprotein 1	Q13316	DMP1	DMP1
SL010458	Endothelial cell-specific molecule 1	Q9NQ30	ESM1	ESM1
SL004844	Ephrin type-A receptor 5	P54756	EPHA5	EPHA5
SL007651	Fibroblast growth factor 23	Q9GZV9	FGF23	FGF23
SL003990	Fibroblast growth factor receptor 2	P21802	FGFR2	FGFR2
SL004063	Fibroblast growth factor receptor 3	P22607	FGFR3	FGFR3
SL006912	Tyrosine-protein kinase Fgr	P09769	FGR	FGR
SL002086	Ficolin-3	O75636	FCN3	FCN3
SL006913	Tyrosine-protein kinase Fyn	P06241	FYN	FYN
SL007423	Interleukin-11 receptor subunit alpha	Q14626	IL11RA	IL11RA
SL007620	Interleukin-12 receptor subunit beta-2	Q99665	IL12RB2	IL12RB2
SL007358	Protein kinase C theta type	Q04759	PRKCQ	PRKCQ
SL010503	MAP kinase-activated protein kinase 2	P49137	MAPKAPK2	MAPKAPK2
SL010504	MAP kinase-activated protein kinase 5	Q8IW41	MAPKAPK5	MAPKAPK5
SL004765	MAP kinase-activated protein kinase 3	Q16644	MAPKAPK3	MAPKAPK3
SL010505	Megakaryocyte-associated tyrosine-protein kinase	P42679	MATK	MATK
SL010502	Mitogen-activated protein kinase 8	P45983	MAPK8	MAPK8
SL010509	Serine/threonine-protein kinase PAK 6	Q9NQU5	PAK6	PAK6
SL011071	Platelet-derived growth factor C	Q9NRA1	PDGFC	PDGFC
SL003761	"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"	P60484	PTEN	PTEN
SL010514	Protein-tyrosine kinase 6	Q13882	PTK6	PTK6
SL010467	Repulsive guidance molecule A	Q96B86	RGMA	RGMA
SL004492	Toll-like receptor 2	O60603	TLR2	TLR2
SL010528	Ubiquitin-fold modifier 1	P61960	UFM1	UFM1
SL011629	AH receptor-interacting protein	O00170	AIP	AIP
SL004823	Peptidyl-prolyl cis-trans isomerase A	P62937	PPIA	PPIA
SL011530	Dynein light chain roadblock-type 1	Q9NP97	DYNLRB1	DYNLRB1
SL011532	"Persulfide dioxygenase ETHE1, mitochondrial"	O95571	ETHE1	ETHE1
SL003785	Glyceraldehyde-3-phosphate dehydrogenase	P04406	GAPDH	GAPDH
SL000449	DnaJ homolog subfamily B member 1	P25685	DNAJB1	DNAJB1
SL008102	"Malate dehydrogenase, cytoplasmic"	P40925	MDH1	MDH1
SL011631	Nascent polypeptide-associated complex subunit alpha	Q13765	NACA	NACA
SL004919	Peroxiredoxin-1	Q06830	PRDX1	PRDX1
SL008063	Low molecular weight phosphotyrosine protein phosphatase	P24666	ACP1	ACP1
SL010973	Proteasome subunit alpha type-1	P25786	PSMA1	PSMA1
SL005630	Proteasome subunit alpha type-6	P60900	PSMA6	PSMA6
SL011528	40S ribosomal protein S7	P62081	RPS7	RPS7
SL006919	Ribosomal protein S6 kinase alpha-5	O75582	RPS6KA5	RPS6KA5
SL011529	Ribosome maturation protein SBDS	Q9Y3A5	SBDS	SBDS
SL011630	Seizure 6-like protein 2	Q6UXD5	SEZ6L2	SEZ6L2
SL011533	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	O43765	SGTA	SGTA
SL005679	Translationally-controlled tumor protein	P13693	TPT1	TPT1
SL000588	Thyroid peroxidase	P07202	TPO	TPO
SL008157	Ubiquitin-conjugating enzyme E2 L3	P68036	UBE2L3	UBE2L3
SL011549	AT-rich interactive domain-containing protein 3A	Q99856	ARID3A	ARID3A
SL008835	Asialoglycoprotein receptor 1	P07306	ASGR1	ASGR1
SL004938	Calcium/calmodulin-dependent protein kinase kinase 1	Q8N5S9	CAMKK1	CAMKK1
SL011232	Hsp90 co-chaperone Cdc37	Q16543	CDC37	CDC37
SL003753	"Dynein light chain 1, cytoplasmic"	P63167	DYNLL1	DYNLL1
SL005685	Elongation factor 1-beta	P24534	EEF1B2	EEF1B2
SL005687	Eukaryotic translation initiation factor 5A-1	P63241	EIF5A	EIF5A
SL009431	Histidine triad nucleotide-binding protein 1	P49773	HINT1	HINT1
SL010927	Importin subunit beta-1	Q14974	KPNB1	KPNB1
SL009628	Inhibitor of growth protein 1	Q9UK53	ING1	ING1
SL006132	Lamin-B1	P20700	LMNB1	LMNB1
SL000493	L-lactate dehydrogenase B chain	P07195	LDHB	LDHB
SL009629	Methyl-CpG-binding domain protein 4	O95243	MBD4	MBD4
SL010328	Mediator of RNA polymerase II transcription subunit 1	Q15648	MED1	MED1
SL001905	Mesothelin	Q13421	MSLN	MSLN
SL005629	N-acetyl-D-glucosamine kinase	Q9UJ70	NAGK	NAGK
SL004820	Phosphoglycerate mutase 1	P18669	PGAM1	PGAM1
SL011709	Pyridoxal phosphate phosphatase	Q96GD0	PDXP	PDXP
SL007266	26S proteasome non-ATPase regulatory subunit 7	P51665	PSMD7	PSMD7
SL008808	S-phase kinase-associated protein 1	P63208	SKP1	SKP1
SL005372	Sorting nexin-4	O95219	SNX4	SNX4
SL008143	Ubiquitin-conjugating enzyme E2 N	P61088	UBE2N	UBE2N
SL004119	Epithelial discoidin domain-containing receptor 1	Q08345	DDR1	DDR1
SL003171	Fibroblast growth factor 4	P08620	FGF4	FGF4
SL000451	Heat shock 70 kDa protein 1A/1B	P08107	HSPA1A	HSPA1A
SL003680	"Advanced glycosylation end product-specific receptor, soluble"	Q15109	AGER	AGER
SL004511	Bactericidal permeability-increasing protein	P17213	BPI	BPI
SL000322	Complement component C6	P13671	C6	C6
SL003104	C-C motif chemokine 24	O00175	CCL24	CCL24
SL000414	Complement factor B	P00751	CFB	CFB
SL004340	Fibroblast growth factor 6	P10767	FGF6	FGF6
SL000426	Fibronectin	P02751	FN1	FN1
SL000674	Follistatin	P19883	FST	FST
SL004068	Granzyme B	P10144	GZMB	GZMB
SL000138	Heparin-binding EGF-like growth factor	Q99075	HBEGF	HBEGF
SL000461	Immunoglobulin E	P01854	IgE	IGHE IGK@ IGL@
SL004353	Interleukin-17D	Q8TAD2	IL17D	IL17D
SL004351	Interleukin-25	Q9H293	IL25	IL25
SL004346	Interleukin-20	Q9NYY1	IL20	IL20
SL001943	Interleukin-6 receptor subunit alpha	P08887	IL6R	IL6R
SL000483	Interleukin-7	P13232	IL7	IL7
SL003183	C-X-C motif chemokine 10	P02778	CXCL10	CXCL10
SL003186	Lymphotactin	P47992	XCL1	XCL1
SL000517	C-C motif chemokine 13	Q99616	CCL13	CCL13
SL004359	Neurotrophin-3	P20783	NTF3	NTF3
SL004360	Neurotrophin-4	P34130	NTF4	NTF4
SL002755	Pappalysin-1	Q13219	PAPPA	PAPPA
SL000537	Platelet-derived growth factor subunit B	P01127	PDGFB	PDGFB
SL000540	Plasmin	P00747	Plasmin	PLG
SL000541	Plasminogen	P00747	Plasminogen	PLG
SL000545	Plasma kallikrein	P03952	KLKB1	KLKB1
SL000091	PSA:alpha-1-antichymotrypsin complex	"P07288, P01011"	KLK3-SERPINA3	KLK3 SERPINA3
SL000560	P-Selectin	P16109	SELP	SELP
SL003198	Tenascin	P24821	TNC	TNC
SL000088	Transforming growth factor beta-2	P61812	TGFB2	TGFB2
SL000586	Thrombin	P00734	Thrombin	F2
SL000613	Urokinase-type plasminogen activator	P00749	PLAU	PLAU
SL000415	Complement factor H	P08603	CFH	CFH
SL000124	72 kDa type IV collagenase	P08253	MMP2	MMP2
SL000601	Serotransferrin	P02787	TF	TF
SL002093	Histone H2A.z	P0C0S5	H2AFZ	H2AFZ
SL000587	Thyroglobulin	P01266	TG	TG
SL017611	14-3-3 protein family	"P31946, P62258, P61981, Q04917, P27348, P63104, P31947"	14-3-3	"YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,SFN"
SL008378	Eukaryotic translation initiation factor 4E-binding protein 2	Q13542	EIF4EBP2	EIF4EBP2
SL000247	"6-phosphogluconate dehydrogenase, decarboxylating"	P52209	PGD	PGD
SL003658	Aflatoxin B1 aldehyde reductase member 2	O43488	AKR7A2	AKR7A2
SL008039	Alcohol dehydrogenase [NADP(+)]	P14550	AKR1A1	AKR1A1
SL011769	Acidic leucine-rich nuclear phosphoprotein 32 family member B	Q92688	ANP32B	ANP32B
SL004920	Cofilin-1	P23528	CFL1	CFL1
SL004757	Vacuolar protein sorting-associated protein VTA1 homolog	Q9NP79	VTA1	VTA1
SL009207	Dynactin subunit 2	Q13561	DCTN2	DCTN2
SL012188	Epidermal growth factor receptor substrate 15-like 1	Q9UBC2	EPS15L1	EPS15L1
SL004795	3-hydroxyacyl-CoA dehydrogenase type-2	Q99714	HSD17B10	HSD17B10
SL005588	Tyrosine-protein kinase Fer	P16591	FER	FER
SL007022	Heterogeneous nuclear ribonucleoprotein Q	O60506	SYNCRIP	SYNCRIP
SL004899	Heat shock cognate 71 kDa protein	P11142	HSPA8	HSPA8
SL011211	Eukaryotic translation initiation factor 4 gamma 2	P78344	EIF4G2	EIF4G2
SL003304	Insulin-like growth factor 1 receptor	P08069	IGF1R	IGF1R
SL004146	Interleukin-1 receptor-like 1	Q01638	IL1RL1	IL1RL1
SL011770	Leucine carboxyl methyltransferase 1	Q9UIC8	LCMT1	LCMT1
SL012168	Protein lin-7 homolog B	Q9HAP6	LIN7B	LIN7B
SL002650	Pyruvate kinase PKM	P14618	PKM2	PKM2
SL001999	E3 ubiquitin-protein ligase Mdm2	Q00987	MDM2	MDM2
SL004154	Neural cell adhesion molecule L1	P32004	L1CAM	L1CAM
SL004921	Nucleoside diphosphate kinase B	P22392	NME2	NME2
SL006268	NSFL1 cofactor p47	Q9UNZ2	NSFL1C	NSFL1C
SL003687	Nucleoside diphosphate kinase A	P15531	NME1	NME1
SL011768	NudC domain-containing protein 3	Q8IVD9	NUDCD3	NUDCD3
SL008331	Proliferation-associated protein 2G4	Q9UQ80	PA2G4	PA2G4
SL005493	Serum paraoxonase/arylesterase 1	P27169	PON1	PON1
SL011772	Pescadillo homolog	O00541	PES1	PES1
SL006705	Prefoldin subunit 5	Q99471	PFDN5	PFDN5
SL000539	Glucose-6-phosphate isomerase	P06744	GPI	GPI
SL005358	Phosphatidylethanolamine-binding protein 1	P30086	PEBP1	PEBP1
SL004901	Protein disulfide-isomerase	P07237	P4HB	P4HB
SL008865	Proteasome subunit alpha type-2	P25787	PSMA2	PSMA2
SL005034	GTP-binding nuclear protein Ran	P62826	RAN	RAN
SL011535	RNA-binding protein 39	Q14498	RBM39	RBM39
SL011202	Alpha-soluble NSF attachment protein	P54920	NAPA	NAPA
SL006088	Sphingosine kinase 1	Q9NYA1	SPHK1	SPHK1
SL005115	Spondin-1	Q9HCB6	SPON1	SPON1
SL000057	"Thymidine kinase, cytosolic"	P04183	TK1	TK1
SL006698	Ligand-dependent nuclear receptor corepressor-like protein	Q8N3X6	LCORL	LCORL
SL003655	Transketolase	P29401	TKT	TKT
SL004812	Triosephosphate isomerase	P60174	TPI1	TPI1
SL011809	dCTP pyrophosphatase 1	Q9H773	DCTPP1	DCTPP1
SL004940	Tyrosine-protein phosphatase non-receptor type 6	P29350	PTPN6	PTPN6
SL013489	Protein amnionless	Q9BXJ7	AMN	AMN
SL008516	Cystatin-SA	P09228	CST2	CST2
SL013490	Brother of CDO	Q9BWV1	BOC	BOC
SL000062	Prostate-specific antigen	P07288	KLK3	KLK3
SL013488	C-type lectin domain family 1 member B	Q9P126	CLEC1B	CLEC1B
SL000572	Serum amyloid A-1 protein	P0DJI8	SAA1	SAA1
SL000051	C-reactive protein	P02741	CRP	CRP
SL002922	Intercellular adhesion molecule 1	P05362	ICAM1	ICAM1
SL007752	Death-associated protein kinase 2	Q9UIK4	DAPK2	DAPK2
SL013570	Dual specificity tyrosine-phosphorylation-regulated kinase 3	O43781	DYRK3	DYRK3
SL000305	beta-nerve growth factor	P01138	NGF	NGF
SL004837	Inhibin beta A chain:Inhibin beta B chain heterodimer	P08476 P09529	INHBB	INHBA INHBB
SL007003	Desert hedgehog protein N-product	O43323	DHH	DHH
SL005161	Fibroblast growth factor 12	P61328	FGF12	FGF12
SL004334	Fibroblast growth factor 16	O43320	FGF16	FGF16
SL014308	Fibroblast growth factor 8 isoform A	P55075	FGF8-isoA	FGF8
SL004348	Interferon lambda-1	Q8IU54	IL29	IL29
SL004349	Interferon lambda-2	Q8IZJ0	IL28A	IL28A
SL005202	Hepatocyte growth factor-like protein	P26927	MST1	MST1
SL001888	Antileukoproteinase	P03973	SLPI	SLPI
SL004484	Pulmonary surfactant-associated protein D	P35247	SFTPD	SFTPD
SL009988	Disintegrin and metalloproteinase domain-containing protein 12	O43184	ADAM12	ADAM12
SL003674	Bcl-2-like protein 1	Q07817	BCL2L1	BCL2L1
SL013988	Carbohydrate sulfotransferase 2	Q9Y4C5	CHST2	CHST2
